LAND,LAND,LAND,WATER,LAND,LAND,LAND,LAND,LAND,LAND,LAND,MOUNTAIN,LAND,LAND,FOREST,FOREST
LAND,LAND,LAND,LAND,ROAD,LAND,LAND,LAND,LAND,MOUNTAIN,LAND,LAND,LAND,FOREST,LAND,LAND,LAND
LAND,LAND,LAND,FOREST,WATER,LAND,LAND,LAND,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD
LAND,LAND,LAND,WATER,WATER,LAND,LAND,LAND,ROAD,LAND,LAND,FOREST,LAND,LAND,LAND,LAND,ROAD
FOREST,WATER,WATER,WATER,WATER,FOREST,FOREST,LAND,ROAD,FOREST,LAND,LAND,LAND,FOREST,LAND,LAND,ROAD
ROAD,WATER,WATER,WATER,WATER,WATER,WATER,WATER,ROAD,FOREST,FOREST,FOREST,LAND,LAND,LAND,LAND,ROAD
ROAD,MOUNTAIN,WATER,WATER,WATER,WATER,WATER,ROAD,ROAD,WATER,WATER,WATER,MOUNTAIN,LAND,FOREST,FOREST,ROAD
ROAD,FOREST,FOREST,WATER,WATER,WATER,ROAD,ROAD,WATER,WATER,WATER,WATER,FOREST,LAND,LAND,FOREST,ROAD
ROAD,LAND,LAND,FOREST,WATER,WATER,LAND,WATER,WATER,WATER,WATER,WATER,WATER,LAND,LAND,LAND,ROAD
ROAD,LAND,LAND,FOREST,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,FOREST,LAND,LAND,ROAD
ROAD,LAND,LAND,WATER,WATER,WATER,WATER,WATER,WATER,WATER,LAND,WATER,WATER,LAND,FOREST,LAND,ROAD
ROAD,LAND,LAND,WATER,WATER,WATER,WATER,WATER,WATER,ROAD,ROAD,WATER,WATER,WATER,LAND,LAND,ROAD
ROAD,LAND,FOREST,LAND,MOUNTAIN,WATER,WATER,WATER,ROAD,ROAD,WATER,WATER,WATER,WATER,WATER,FOREST,ROAD
ROAD,LAND,LAND,LAND,FOREST,FOREST,FOREST,FOREST,ROAD,WATER,WATER,WATER,WATER,WATER,WATER,WATER,ROAD
ROAD,LAND,LAND,LAND,LAND,LAND,LAND,LAND,ROAD,FOREST,FOREST,WATER,WATER,WATER,WATER,WATER,FOREST
ROAD,LAND,LAND,FOREST,LAND,FOREST,LAND,FOREST,ROAD,LAND,LAND,WATER,WATER,WATER,WATER,LAND,LAND
ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,LAND,LAND,LAND,WATER,LAND,FOREST,LAND,LAND
LAND,LAND,LAND,LAND,MOUNTAIN,FOREST,LAND,LAND,LAND,LAND,LAND,LAND,ROAD,LAND,LAND,LAND,LAND
FOREST,LAND,FOREST,LAND,LAND,LAND,LAND,LAND,FOREST,LAND,LAND,MOUNTAIN,WATER,LAND,LAND,LAND,FOREST

