WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER
WATER,WATER,WATER,WATER,WATER,WATER,LAND,LAND,FOREST,WATER
WATER,WATER,WATER,WATER,WATER,FOREST,LAND,LAND,LAND,WATER
WATER,WATER,WATER,WATER,WATER,LAND,LAND,ROAD,LAND,WATER
WATER,WATER,WATER,WATER,WATER,LAND,LAND,ROAD,LAND,WATER
WATER,WATER,WATER,WATER,FOREST,LAND,LAND,ROAD,FOREST,WATER
WATER,WATER,WATER,WATER,LAND,FOREST,FOREST,ROAD,LAND,WATER
WATER,WATER,WATER,MOUNTAIN,FOREST,LAND,FOREST,ROAD,WATER,WATER
WATER,WATER,LAND,LAND,FOREST,LAND,LAND,ROAD,WATER,WATER
WATER,WATER,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,WATER,WATER
WATER,WATER,ROAD,LAND,LAND,FOREST,LAND,LAND,WATER,WATER
WATER,WATER,ROAD,FOREST,LAND,FOREST,MOUNTAIN,WATER,WATER,WATER
WATER,LAND,ROAD,LAND,LAND,FOREST,WATER,WATER,WATER,WATER
WATER,FOREST,ROAD,LAND,FOREST,LAND,WATER,WATER,WATER,WATER
WATER,LAND,ROAD,LAND,LAND,WATER,WATER,WATER,WATER,WATER
WATER,LAND,ROAD,LAND,FOREST,WATER,WATER,WATER,WATER,WATER
WATER,LAND,LAND,LAND,LAND,WATER,WATER,WATER,WATER,WATER
WATER,FOREST,LAND,LAND,WATER,WATER,WATER,WATER,WATER,WATER
WATER,ROAD,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER

