LAND,FOREST,FOREST,LAND,LAND,WATER,WATER,WATER,WATER,LAND,LAND,FOREST,FOREST,LAND,LAND
LAND,LAND,LAND,LAND,LAND,WATER,WATER,WATER,WATER,LAND,LAND,LAND,LAND,LAND,LAND
LAND,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,LAND,LAND
FOREST,ROAD,FOREST,LAND,LAND,WATER,WATER,WATER,WATER,LAND,LAND,LAND,LAND,FOREST,LAND
FOREST,ROAD,LAND,FOREST,LAND,WATER,WATER,WATER,WATER,FOREST,LAND,LAND,ROAD,FOREST,LAND
LAND,ROAD,LAND,LAND,LAND,WATER,WATER,WATER,WATER,FOREST,LAND,LAND,ROAD,LAND,LAND
LAND,ROAD,FOREST,LAND,LAND,WATER,WATER,WATER,WATER,FOREST,LAND,LAND,ROAD,LAND,LAND
LAND,ROAD,LAND,LAND,FOREST,WATER,WATER,WATER,WATER,LAND,LAND,LAND,ROAD,LAND,LAND
LAND,ROAD,LAND,FOREST,WATER,WATER,WATER,WATER,WATER,WATER,LAND,LAND,ROAD,LAND,LAND
LAND,ROAD,FOREST,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,LAND,ROAD,LAND,LAND
LAND,ROAD,LAND,WATER,WATER,WATER,LAND,FOREST,WATER,WATER,WATER,LAND,ROAD,LAND,LAND
FOREST,ROAD,FOREST,FOREST,FOREST,LAND,LAND,LAND,LAND,FOREST,FOREST,FOREST,ROAD,FOREST,LAND
FOREST,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,FOREST,LAND
FOREST,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,FOREST,LAND
FOREST,ROAD,FOREST,FOREST,FOREST,LAND,LAND,LAND,LAND,FOREST,FOREST,FOREST,ROAD,FOREST,LAND
LAND,ROAD,LAND,WATER,WATER,WATER,LAND,FOREST,WATER,WATER,WATER,LAND,ROAD,LAND,LAND
LAND,ROAD,LAND,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,LAND,ROAD,LAND,LAND
LAND,ROAD,FOREST,FOREST,WATER,WATER,WATER,WATER,WATER,WATER,LAND,FOREST,ROAD,LAND,LAND
LAND,ROAD,LAND,LAND,FOREST,WATER,WATER,WATER,WATER,LAND,FOREST,LAND,ROAD,LAND,LAND
LAND,ROAD,LAND,FOREST,LAND,WATER,WATER,WATER,WATER,FOREST,LAND,LAND,ROAD,LAND,LAND
LAND,ROAD,FOREST,LAND,LAND,WATER,WATER,WATER,WATER,FOREST,LAND,LAND,ROAD,LAND,LAND
FOREST,ROAD,LAND,LAND,LAND,WATER,WATER,WATER,WATER,FOREST,LAND,LAND,ROAD,FOREST,LAND
FOREST,ROAD,LAND,LAND,LAND,WATER,WATER,WATER,WATER,LAND,LAND,LAND,ROAD,FOREST,LAND
LAND,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,ROAD,LAND,LAND
LAND,LAND,LAND,LAND,LAND,WATER,WATER,WATER,WATER,LAND,LAND,LAND,ROAD,LAND,LAND
LAND,LAND,FOREST,FOREST,LAND,WATER,WATER,WATER,WATER,LAND,LAND,FOREST,FOREST,LAND,LAND
